ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
W5-N,5904844914460,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,NATURAL ,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-W,5904844914477,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,WHITE,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-G,5904844914484,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,GRAY,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-O,5904844915221,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,OLIVE,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,PHOTOS
W5-V,5904844918857,W5 baby bed 5-in-1,,"Baby bed with cradle
This practical and versatile 5-in-1 bed with a cradle is perfect for small rooms. It has a built-in cradle (additionally paid) that gently rocks the baby ""side to side"". The ability to dismantle the cradle gives you the option of using a free-standing cot or a cot on wheels. Thanks to its compact dimensions, it fits through doors and makes it easy to move between rooms. Perfect for children up to 3 years old.",459.9,0.2,>20%  <30%,VINTAGE,BEECH WOOD,"97 cm/  70 cm/ 75.5 cm (81,5 cm with wheels)",23 kg,81 cm/ 38 cm/ 58 cm,25 kg,25 kg
BASIC-W5-2w1,5904844919380,Basic mattress for the W5 bed,,"Basic 2-in-1 mattress sold with the W5 bed. Made of high-quality flexible foam. The mattress is divided into two parts, making it suitable for every configuration of the 5-in-1 crib.",85,0.2,>20%  <30%,WHITE,T25 foam,"92 cm/ 65,5 cm / 5,5 cm",,,,
K-W5-N,5904844915146,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,NATURAL ,BEECH WOOD,,,,,PHOTOS
K-W5-W,5904844915139,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,WHITE,BEECH WOOD,,,,,PHOTOS
K-W5-G,5904844915153,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,GRAY,BEECH WOOD,,,,,PHOTOS
K-W5-O,5904844915238,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,OLIVE,BEECH WOOD,,,,,PHOTOS
K-W5-GH,5904844915160,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,GRAPHITE,BEECH WOOD,,,,,PHOTOS
K-W5-V,5904844918864,Cradle for the W5 5-in-1 baby bed,,Internal cradle for the W5 5-in-1 bed,194.9,0.2,>20%  <30%,VINTAGE,BEECH WOOD,,,,,
W5-SH-WP,5904844915757,Cotton waterproof sheet dedicated to the W5  baby bed 5in1,,"""About the sheet:
- waterproof sheet for 5in1 beds,
- designed and sewn in Poland from Polish materials,",25,0.2,>20%  <30%,WHITE,"
70% cotton 
30% elastane
outer membrane
100% Polyurethane",93 cm/ 65 cm,"0,35 kg",15 cm/ 13 cm/ 11 cm,"0,5 kg",
W5-SH-WHITE,5904844915832,Sheet dedicated to the W5 baby bed 5in1,,"Information about the sheet
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate",25,0.2,>20%  <30%,WHITE,Cotton ,93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-BEIGE,5904844915429,Sheet dedicated to the W5 baby bed 5in1,,"BEIGE (Brown) ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,BEIGE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-CHAMPAGNE,5904844919519,Sheet dedicated to the W5 baby bed 5in1,,"CHAMPAGNE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,CHAMPAGNE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-BLUE,5904844915412,Sheet dedicated to the W5 baby bed 5in1.,,"BLUE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,BLUE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-ROSE,5904844915436,Sheet dedicated to the W5 baby bed 5in1.,,"ROSE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,ROSE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-PINK,5904844919465,Sheet dedicated to the W5 baby bed 5in1.,,"PINK ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,PINK,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-TAUPE,5904844915405,Sheet dedicated to the W5 baby bed 5in1.,,"TAUPE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,BROWN,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-GRAY,5904844916990,Sheet dedicated to the W5 baby bed 5in1.,,"GRAY ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,GRAY,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-GRAPHITE,5904844917003,Sheet dedicated to the W5 baby bed 5in1.,,"GRAPHITE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",25,0.2,>20%  <30%,GRAPHITE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 65 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-SET-J88,5904844915122,Set of sheet dedicated to the W5 baby bed 5in1 and W5 sidebed.,,"Information about the set:
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate",44,0.2,>20%  <30%,WHITE,Bawełna,"93 cm/ 65 cm
93 cm/ 44 cm",0.7,22 cm/ 18 cm/12 cm,"0,85 kg",
W5-SH-SIDEBED-WP,5904844915740,Cotton waterproof sheet dedicated to the W5 sidebed,,"""About the sheet:
- waterproof sheet for 5in1 beds,
- designed and sewn in Poland from Polish materials,",24,0.2,>20%  <30%,BIAŁY,"
70% cotton
30% polyester
Outer membrane
100% polyurethane",93 cm/ 44 cm,"0,16 kg",15 cm/ 13 cm/ 11 cm,"0,2 kg",
W5-SH-SIDEBED-BEIGE,5904844915382,Sheet dedicated to the W5 sidebed.,,"BEIGE (Brown) ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,BEIGE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",
W5-SH-SIDEBED-CHAMPAGNE,5904844919526,Sheet dedicated to the W5 sidebed.,,"CHAMPAGNE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,CHAMPAGNE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-SIDEBED-BLUE,5904844915375,Sheet dedicated to the W5 sidebed.,,"BLUE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,BLUE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",
W5-SH-SIDEBED-ROSE,5904844915368,Sheet dedicated to the W5 sidebed.,,"ROSE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,ROSE,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",
W5-SH-SIDEBED-PINK,5904844919472,Sheet dedicated to the W5 sidebed.,,"PINK ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,PINK,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-SIDEBED-TAUPE,5904844915399,Sheet dedicated to the W5 sidebed.,,"TAUPE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,BROWN,"Cotton 190gr 
95% cotton 
5% elastane",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",
W5-SH-SIDEBED-GRAY,5904844917010,Sheet dedicated to the W5 sidebed.,,"GRAY ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,GRAY,"Bawełna 190gr 
95% cotton 
5% elastan",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-SIDEBED-GRAPHITE,5904844917027,Sheet dedicated to the W5 sidebed.,,"GRAPHITE ""Cotton 190 gr
95% cotton 5% elastane"" ""
OEKO-TEX STANDARD 100""",24,0.2,>20%  <30%,GRAPHITE,"Bawełna 190gr 
95% cotton 
5% elastan",93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
W5-SH-SIDEBED-WHITE,5904844917034,Sheet dedicated to the W5 sidebed.,,"Information about the set:
- designed and sewn in Poland from Polish materials,
- jersey cotton has the Oeko-tex Standard 100 Certificate",24,0.2,>20%  <30%,WHITE,Bawełna,93 cm/ 44 cm,"0,35 kg",22 cm/ 18 cm/12 cm,"0,5 kg",PHOTOS
