ARTICLE NUMBER (SKU),EAN,PRODUCT NAME,PRODUCT PHOTO,REGISTERED DESIGN,DESCRIPTION,BRUTTO PRICE,DROPSHIPPING DISCOUNT,WHOLESALE DISCOUNT,COLOR,MATERIAL,PRODUCT DIMENSIONS AND WEIGHT,,DIMENSIONS AND WEIGHT OF THE SHIPMENT,,PHOTOS
SH-TABLE-WP,5904844915764,Cotton waterproof sheet for changing table,,,"Information about the sheet:
- waterproof sheet for changing table,
- designed and sewn in Poland from Polish materials.",25,0.2,>20%  <30%,WHITE,"70% cotton 
30% elastane
Inner membrane
100% Polyurethane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,
SH-TABLE-BEIGE,5904844915498,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,BEIGE,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-CHAMPAGNE,5904844919502,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,CHAMPAGNE,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-WHITE,5904844915504,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,WHITE,100% Cotton,70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-BLUE,5904844915511,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,BLUE,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-ROSE,5904844915528,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,ROSE,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-PINK,5904844919458,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,PINK,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-TAUPE,5904844915535,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,BROWN,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,PHOTOS
SH-TABLE-GRAY,5904844916976,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,GRAY,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,
SH-TABLE-GRAPHITE,5904844916983,Sheet dedicated to the baby changing table.,,,"Technical information:
- designed and sewn in Poland from Polish materials,
- the cotton jersey has the Oeko-tex Standard 100 Certificate
- Fits the 7in1 Waldin Baby Collection cot extension.",25,0.2,>20%  <30%,GRAPHITE,"Cotton 190gr 
95% cotton 
5% elastane",70cm x 50 cm (+/- 2cm),"0,35 kg",,,
CAN-TAUPE,5904844915245,Tulle canopy with support for a baby bed,,,"Soft tulle 45g/m2 ""
OEKO-TEX STANDARD 100""",69,0.2,>20%  <30%,BROWN,Soft tulle 45g/m2 ,700 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",PHOTOS
CAN-ROSE,5904844915252,Tulle canopy with support for a baby bed,,,"Soft tulle 45g/m2 ""
OEKO-TEX STANDARD 100""",69,0.2,>20%  <30%,ROSE,Soft tulle 45g/m2 ,700 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",
CAN-ECRU,5904844915269,Tulle canopy with support for a baby bed,,,"Soft tulle 45g/m2 ""
OEKO-TEX STANDARD 100""",69,0.2,>20%  <30%,ECRU,Soft tulle 45g/m2 ,700 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",
CAN-CHAMPAGNE,5904844915276,Tulle canopy with support for a baby bed,,,"Soft tulle 45g/m2 ""
OEKO-TEX STANDARD 100""",69,0.2,>20%  <30%,CHAMPAGNE BEIGE,Soft tulle 45g/m2 ,700 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",
CAN-GRAY,5904844915849,Tulle canopy with support for a baby bed,,,"Soft tulle 45g/m2 ""
OEKO-TEX STANDARD 100""",69,0.2,>20%  <30%,CHAMPAGNE BEIGE,Soft tulle 45g/m2 ,700 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",
CAN-BEIGE,5904844915856,Tulle canopy with support for a baby bed,,,"Soft tulle 45g/m2 ""
OEKO-TEX STANDARD 100""",69,0.2,>20%  <30%,CHAMPAGNE BEIGE,Soft tulle 45g/m2 ,700 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",
B-11,5904844913760,Canopy,,,"A canopy on a bar, attached to the bed using special brackets.
Made of cotton and voile.",59,0.2,>20%  <30%,GRAY,Fabric,300 cm/ 155 cm,1 kg,80 cm/ 18 cm/ 8 cm,"1,6 kg",PHOTOS
B-SMIX                           ,5904844913777,Canopy,,,"A canopy on a bar, attached to the bed using special brackets.
Made of cotton and voile.",59,0.2,>20%  <30%,GALAXY,Fabric,300 cm/ 155 cm,1 kg,79 cm/ 17 cm/ 5 cm,"1,6 kg",PHOTOS
B-77,5904844913784,Canopy,,,"A canopy on a bar, attached to the bed using special brackets.
Made of cotton and voile.",59,0.2,>20%  <30%,POWDER PINK,Fabric,300 cm/ 155 cm,1 kg,79 cm/ 17 cm/ 5 cm,"1,6 kg",PHOTOS
B-88,5904844913791,Canopy,,,"A canopy on a bar, attached to the bed using special brackets.
Made of cotton and voile.",59,0.2,>20%  <30%,WHITE,Fabric,300 cm/ 155 cm,1 kg,79 cm/ 17 cm/ 5 cm,"1,6 kg",PHOTOS
B-P18                             ,5904844913814,Canopy,,,"A canopy on a bar, attached to the bed using special brackets.
Made of cotton and voile.",59,0.2,>20%  <30%,GRAY DOTS,Fabric,300 cm/ 155 cm,1 kg,79 cm/ 17 cm/ 5 cm,"1,6 kg",PHOTOS
B-PP                               ,5904844913821,Canopy,,,"A canopy on a bar, attached to the bed using special brackets.
Made of cotton and voile.",59,0.2,>20%  <30%,OWLS,Fabric,300 cm/ 155 cm,1 kg,79 cm/ 17 cm/ 5 cm,"1,6 kg",PHOTOS
SET-23,5904844912183,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,PURPLE,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,
,,,,,,,,>20%  <30%,,,,,,,
SET-8P,5904844912190,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,OWLS/WHITE,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-P18,5904844912206,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,GRAY DOTS,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-38,5904844912213,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,BLUE,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-S81,5904844912220,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,WHITE OLD PEOPLE,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-8S1,5904844912237,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,GRAY OLDS,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-L8,5904844912244,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,FOREST,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-11,5904844912251,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,GRAY,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-S13,5904844912268,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,BLUE STARS,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-S17,5904844912275,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,PINK STARS,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-SMIX,5904844912282,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,GALAXY,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
SET-8L,5904844912299,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,FOREST/WHITE,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
SET-88,5904844912305,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,WHITE,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
SET-P8,5904844912312,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,OWLS,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
SET-77,5904844913982,7-IN-1 SET OF TEXTILE ACCESSORIES FOR BABY BEDS,,,"EQUIPMENT FOR 7-IN-1 BEDS - SMALL AND LARGE BEDDING SET, BED DACHIN, COVER, SET OF SHEET",179,0.2,>20%  <30%,POWDER PINK,COTTON 100%,,,80 cm/ 38 cm/ 17 cm,5 kg,PHOTOS
B-02,5904844913616,Braid,,,"3-band braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,BEIGE,COTTON 100%,210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,PHOTOS
B-05,5904844913623,Braid,,,"3-band braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,LIGHT PINK,COTTON 100%,210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,
B-09,5904844913609,Braid,,,"3-band braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,GREEN,COTTON 100%,210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,
B-12,5904844913630,Braid,,,"3-band braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,LIGHT GREY,COTTON 100%,210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,
B-W-01,5904844914613,Velour braid,,,"3-band velour braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,ECRU,"velour, 380 grams, 100% polyester, silicone ball, grade I, white ",210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,PHOTOS
B-W-02,5904844914620,Velour braid,,,"3-band velour braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,BEIGE,"velour, 380 grams, 100% polyester, silicone ball, grade I, white ",210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,
B-W-03,5904844914637,Velour braid,,,"3-band velour braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,CHOCOLATE,"velour, 380 grams, 100% polyester, silicone ball, grade I, white ",210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,
B-W-04,5904844914644,Velour braid,,,"3-band velour braid, rung protector.

Length: 210cm

Storage cover.",54.9,0.2,>20%  <30%,PINK,"velour, 380 grams, 100% polyester, silicone ball, grade I, white ",210 cm / 10 cm/ 18 cm,"1,5 kg",47 cm / 47 cm / 16 cm,2 kg,
K-N,5904844911902,CRADLE,,,"Detailed information. - elegant design with a swing mechanism,
- fits square and oval beds,
- the locking pendulum can be easily moved by tilting it with your foot or hand,
- easy attachment to the bed,
- the cradle can be locked to use the bed in stable conditions.",229,0.2,>20%  <30%,NATURAL,BEECH WOOD,"96 cm/ 96cm/ 38cm
146 cm/ 96 cm/ 38 cm",8 kg,100 cm/ 52 cm/ 6 cm,9 kg,PHOTOS
K-W,5904844911551,CRADLE,,,"Detailed information. - elegant design with a swing mechanism,
- fits square and oval beds,
- the locking pendulum can be easily moved by tilting it with your foot or hand,
- easy attachment to the bed,
- the cradle can be locked to use the bed in stable conditions.",229,0.2,>20%  <30%,WHITE,BEECH WOOD,"96 cm/ 96cm/ 38cm
146 cm/ 96 cm/ 38 cm",8 kg,100 cm/ 52 cm/ 6 cm,9 kg,PHOTOS
,,,,,,,,>20%  <30%,,,,,,,
K-G,5904844911919,CRADLE,,,"Detailed information. - elegant design with a swing mechanism,
- fits square and oval beds,
- the locking pendulum can be easily moved by tilting it with your foot or hand,
- easy attachment to the bed,
- the cradle can be locked to use the bed in stable conditions.",229,0.2,>20%  <30%,GRAY,BEECH WOOD,"96 cm/ 96cm/ 38cm
146 cm/ 96 cm/ 38 cm",8 kg,100 cm/ 52 cm/ 6 cm,9 kg,PHOTOS
K-O,5904844915191,CRADLE,,,"Detailed information. - elegant design with a swing mechanism,
- fits square and oval beds,
- the locking pendulum can be easily moved by tilting it with your foot or hand,
- easy attachment to the bed,
- the cradle can be locked to use the bed in stable conditions.",229,0.2,>20%  <30%,OLIVE,BEECH WOOD,"96 cm/ 96cm/ 38cm
146 cm/ 96 cm/ 38 cm",8 kg,100 cm/ 52 cm/ 6 cm,9 kg,PHOTOS
K-V,5904844918871,CRADLE,,,"Detailed information. - elegant design with a swing mechanism,
- fits square and oval beds,
- the locking pendulum can be easily moved by tilting it with your foot or hand,
- easy attachment to the bed,
- the cradle can be locked to use the bed in stable conditions.",229,0.2,>20%  <30%,VINTAGE,BEECH WOOD,"96 cm/ 96cm/ 38cm
146 cm/ 96 cm/ 38 cm",8 kg,100 cm/ 52 cm/ 6 cm,9 kg,
DRAWER-N,5904844910622,DRAWER,,,"Detailed information. To be able to use two drawers, you need to purchase an extension for the 7-in-1 bed.
Dimensions: 76 x 51 x 29
Weight: 8 kg",137,0.2,>20%  <30%,NATURAL,WOOD,76 cm/ 51 cm/ 29 cm,8 kg,78 cm/ 49 cm/ 6cm,9 kg,PHOTOS
DRAWER-W,5904844910646,DRAWER,,,"Detailed information. To be able to use two drawers, you need to purchase an extension for the 7-in-1 bed.
Dimensions: 76 x 51 x 29
Weight: 8 kg",137,0.2,>20%  <30%,WHITE,WOOD,76 cm/ 51 cm/ 29 cm,8 kg,78 cm/ 49 cm/ 6cm,9 kg,PHOTOS
DRAWER-G,5904844910639,DRAWER,,,"Detailed information. To be able to use two drawers, you need to purchase an extension for the 7-in-1 bed.
Dimensions: 76 x 51 x 29
Weight: 8 kg",137,0.2,>20%  <30%,GRAY,WOOD,76 cm/ 51 cm/ 29 cm,8 kg,78 cm/ 49 cm/ 6cm,9 kg,PHOTOS
DRAWER-O,5904844915207,DRAWER,,,"Detailed information. To be able to use two drawers, you need to purchase an extension for the 7-in-1 bed.
Dimensions: 76 x 51 x 29
Weight: 8 kg",137,0.2,>20%  <30%,OLIVE,WOOD,76 cm/ 51 cm/ 29 cm,8 kg,78 cm/ 49 cm/ 6cm,9 kg,PHOTOS
DRAWER-GH,5904844918888,DRAWER,,,"Detailed information. To be able to use two drawers, you need to purchase an extension for the 7-in-1 bed.
Dimensions: 76 x 51 x 29
Weight: 8 kg",137,0.2,>20%  <30%,VINTAGE,WOOD,76 cm/ 51 cm/ 29 cm,8 kg,78 cm/ 49 cm/ 6cm,9 kg,
EX-N,5904844910486,BED EXTENSION,,,"Set contains:
- mattress,
- wooden elements,
- set of screws.",86,0.2,>20%  <30%,NATURAL,"BEECH WOOD,
FOAM, COTTON",73 cm/ 50 cm/ 6 cm,"1,5 kg",78 cm/59 cm/ 6cm,2 kg,PHOTO
EX-W,5904844910493,BED EXTENSION,,,"Set contains:
- mattress,
- wooden elements,
- set of screws.",86,0.2,>20%  <30%,WHITE,"BEECH WOOD,
FOAM, COTTON",73 cm/ 50 cm/ 6 cm,"1,5 kg",78 cm/59 cm/ 6cm,2 kg,PHOTO
EX-G,5904844910509,BED EXTENSION,,,"Set contains:
- mattress,
- wooden elements,
- set of screws.",86,0.2,>20%  <30%,GRAY,"BEECH WOOD,
FOAM, COTTON",73 cm/ 50 cm/ 6 cm,"1,5 kg",78 cm/59 cm/ 6cm,2 kg,PHOTO
EX-O,5904844915214,BED EXTENSION,,,"Set contains:
- mattress,
- wooden elements,
- set of screws.",86,0.2,>20%  <30%,OLIVE,"BEECH WOOD,
FOAM, COTTON",73 cm/ 50 cm/ 6 cm,"1,5 kg",78 cm/59 cm/ 6cm,2 kg,
EX-V,5904844918895,BED EXTENSION,,,"Set contains:
- mattress,
- wooden elements,
- set of screws.",86,0.2,>20%  <30%,VINTAGE,"BEECH WOOD,
FOAM, COTTON",73 cm/ 50 cm/ 6 cm,"1,5 kg",78 cm/59 cm/ 6cm,2 kg,
